128	RESIDENT EVIL 2 REMAKE DELUXE EDITION	1	2025-07-12 02:46:44.255448
130	BATTLEFIELD HARDLINE	1	2025-07-12 02:46:44.668692
131	CALL OF DUTY: ADVANCED WARFARE	1	2025-07-12 02:46:44.864148
142	GOD OF WAR	3	2025-08-12 20:40:12.658162
143	MARVEL'S SPIDER-MAN REMASTERED	3	2025-08-12 20:40:26.886655
144	BATTLEFIELD V	3	2025-08-12 20:40:35.861013
126	STAR WARS BATTLEFRONT II ULTIMATE EDITION	1	2025-07-12 02:46:43.852045
145	HITMAN 3	3	2025-08-12 20:40:44.221836
146	READY OR NOT	3	2025-08-12 20:40:49.678962
129	CRYSIS 3 REMASTERED	1	2025-07-12 02:46:44.471208
97	STAR WARS JEDI FALLEN ORDER	1	2025-07-12 02:46:38.017425
147	RED DEAD REDEMPTION 2	3	2025-08-12 20:41:08.217469
133	MINDSEYE	1	2025-07-16 02:42:44.879466
134	BULLETSTORM	1	2025-07-16 02:47:10.266841
135	GUNGRAVE G.O.R.E	1	2025-07-16 21:39:18.400951
136	SERIOUS SAM 4	1	2025-07-22 02:01:53.628655
132	BATTLEFIELD 4	3	2025-07-14 13:44:26.615956
149	METRO EXODUS	3	2025-08-12 20:41:22.575776
137	DEATH STRANDING	3	2025-08-02 02:32:17.137
138	NEED FOR SPEED MOST WANTED BLACK EDITION	1	2025-08-08 02:19:02.691974
139	CALL OF DUTY MODERN WARFARE II	1	2025-08-12 20:25:30.445036
140	HOGWARTS LEGACY	3	2025-08-12 20:37:31.002735
156	DOOM ETERNAL	3	2025-08-12 20:42:08.136036
157	SENUA'S SAGA HELLBLADE II	3	2025-08-12 20:42:12.994359
158	A PLAGUE TALE REQUIEM	3	2025-08-12 20:42:18.116566
159	NIER: AUTOMATA	3	2025-08-12 20:42:23.136917
160	NOBODY WANTS TO DIE	3	2025-08-12 20:42:28.855845
161	FORZA HORIZON 4	3	2025-08-12 20:42:38.823534
162	ASSASSIN'S CREED III REMASTERED	3	2025-08-12 20:42:43.98979
163	BIOMUTANT	3	2025-08-12 20:42:48.944445
164	KENA BRIDGE OF SPIRITS	3	2025-08-12 20:42:54.561043
165	STATE OF DECAY 2	3	2025-08-12 20:43:05.83202
166	HOT WHEELS UNLEASHED 2	3	2025-08-12 20:43:12.344323
167	HORIZON FORBIDDEN WEST COMPLETE EDITION	3	2025-08-12 20:43:17.606599
168	WATCH DOGS LEGION	3	2025-08-12 20:43:22.37152
170	THE LAST OF US - PART I	3	2025-08-12 20:43:39.987161
171	CRYSIS 2 REMASTERED	3	2025-08-12 20:43:44.546234
172	ARMORED CORE VI FIRES OF RUBICON	3	2025-08-12 20:43:50.686792
173	STAR WARS: BATTLEFRONT	3	2025-08-12 20:43:57.98627
174	ORI AND THE WILL OF THE WISPS	3	2025-08-12 20:44:03.010603
175	CRIME BOSS ROCKAY CITY	3	2025-08-12 20:44:07.777601
176	BATTLEFIELD 1	3	2025-08-12 20:44:12.510212
177	STRAY	3	2025-08-12 20:44:18.047298
178	SNOWRUNNER	3	2025-08-12 20:44:23.526659
179	FLINTLOCK THE SIEGE OF DAWN	3	2025-08-12 20:44:29.593999
180	RISE OF THE TOMB RAIDER 20 YEAR CELEBRATION	3	2025-08-12 20:44:34.677403
181	AMERICAN TRUCK SIMULATOR	3	2025-08-12 20:44:41.359816
141	CONTROL	3	2025-08-12 20:39:56.251488
150	THE CALLISTO PROTOCOL	3	2025-08-12 20:41:28.962934
151	CALL OF DUTY INFINITE WARFARE	3	2025-08-12 20:41:35.961418
152	MAD MAX ROAD WARRIOR	3	2025-08-12 20:41:42.574889
153	CRYSIS REMASTERED	3	2025-08-12 20:41:48.016238
154	EXPEDITIONS A MUDRUNNER	3	2025-08-12 20:41:53.52047
155	GTA SAN ANDREAS	3	2025-08-12 20:42:01.028439
\.


